party,first_name,last_name
Republican,a,ferguson
Democrat,abby,finkenauer
Democrat,abigail,spanberger
Republican,adam,kinzinger
Democrat,adam,schiff
Democrat,adam,smith
Republican,adrian,smith
Democrat,adriano,espaillat
Democrat,al,green
Democrat,al,lawson
Democrat,alan,lowenthal
Democrat,albio,sires
Democrat,alcee,hastings
Republican,alex,mooney
Republican,alexander,mooney
Democrat,alexandria,cortez
Democrat,alexandria,ocasio-cortez
Democrat,alma,adams
Democrat,ami,bera
Democrat,andre,carson
Republican,andrew,clyde
Republican,andrew,garbarino
Democrat,andrew,kim
Democrat,andré,carson
Republican,andy,barr
Republican,andy,biggs
Republican,andy,harris
Democrat,andy,kim
Democrat,andy,levin
Democrat,angie,craig
Democrat,ann,kirkpatrick
Democrat,ann,kuster
Republican,ann,wagner
Democrat,anna,eshoo
Democrat,annie,kuster
Democrat,anthony,brindisi
Democrat,anthony,brown
Republican,anthony,gonzalez
Democrat,antonio,delgado
Republican,ashley,arenholz
Democrat,aston,mceachin
Republican,august,pfluger
Republican,aumua,radewagen
Republican,austin,scott
Democrat,ayanna,pressley
Democrat,barbara,lee
Republican,barry,loudermilk
Republican,ben,cline
Democrat,ben,lujan
Democrat,ben,mcadams
Democrat,bennie,thompson
Republican,beth,van duyne
Democrat,betty,mccollum
Republican,bill,flores
Democrat,bill,foster
Republican,bill,huizenga
Republican,bill,johnson
Democrat,bill,pascrell
Republican,bill,posey
Republican,billy,long
Republican,blaine,luetkemeyer
Republican,blake,moore
Republican,bob,gibbs
Democrat,bobby,rush
Democrat,bonnie,coleman
Democrat,bonnie,watson coleman
Democrat,brad,sherman
Republican,brad,wenstrup
Republican,bradley,byrne
Democrat,bradley,schneider
Democrat,brenda,lawrence
Democrat,brendan,boyle
Republican,brett,guthrie
Republican,brian,babin
Republican,brian,fitzpatrick
Democrat,brian,higgins
Republican,brian,mast
Republican,bruce,westerman
Republican,bryan,steil
Republican,buddy,carter
Republican,byron,donalds
Democrat,c,ruppersberger
Republican,carlos,giménez
Republican,carol,miller
Democrat,carolyn,bourdeaux
Democrat,carolyn,maloney
Republican,cathy,mcmorris rodgers
Republican,cathy,rodgers
Democrat,cedric,richmond
Republican,charles,fleischmann
Democrat,charlie,crist
Democrat,chellie,pingree
Democrat,cheri,bustos
Republican,chip,roy
Republican,chris,collins
Democrat,chris,pappas
Republican,chris,stewart
Democrat,chrissy,houlahan
Republican,christopher,jacobs
Republican,christopher,smith
Republican,chuck,fleischmann
Republican,clarence,owens
Republican,clay,higgins
Republican,cliff,bentz
Democrat,colin,allred
Democrat,collin,peterson
Democrat,conor,lamb
Democrat,cori,bush
Democrat,cindy,axne
Republican,dan,bishop
Republican,daniel,crenshaw
Republican,dan,newhouse
Democrat,daniel,kildee
Democrat,daniel,lipinski
Republican,daniel,meuser
Republican,daniel,webster
Democrat,danny,davis
Republican,darin,lahood
Republican,darrell,issa
Democrat,darren,soto
Republican,david,cawthorn
Democrat,david,cicilline
Republican,david,joyce
Republican,david,kustoff
Democrat,david,loebsack
Republican,david,mckinley
Democrat,david,price
Republican,david,roe
Republican,david,rouzer
Republican,david,schweikert
Democrat,david,scott
Democrat,david,trone
Republican,david,valadao
Democrat,dean,phillips
Democrat,debbie,dingell
Republican,debbie,lesko
Democrat,debbie,powell
Democrat,debbie,schultz
Democrat,debbie,wasserman schultz
Republican,debbie ,lesko
Democrat,deborah,ross
Democrat,debra,haaland
Democrat,denny,heck
Republican,denver,riggleman
Democrat,derek,kilmer
Republican,devin,nunes
Democrat,diana,degette
Republican,diana,harshbarger
Democrat,dina,titus
Republican,don,bacon
Democrat,don,beyer
Republican,don,young
Democrat,donald,beyer
Democrat,donald,mceachin
Democrat,donald,norcross
Democrat,donald,payne
Democrat,donna,shalala
Democrat,doris,matsui
Republican,doug,collins
Republican,doug,lamalfa
Republican,doug,lamborn
Republican,drew,ferguson
Republican,duncan,hunter
Republican,dusty,johnson
Democrat,dutch,ruppersberger
Democrat,dwight,evans
Democrat,earl,blumenauer
Republican,earl,carter
Democrat,ed,case
Democrat,ed,perlmutter
Democrat,eddie,johnson
Democrat,eddie bernice,johnson
Democrat,elaine,luria
Democrat,eleanor,norton
Democrat,elijah,cummings
Democrat,eliot,engel
Republican,elise,stefanik
Democrat,elissa,slotkin
